"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00128336","3.0","ERS743113","MGYS00001787","metagenomic",,"ERR906483",
"MGYA00074289","3.0","ERS970328","MGYS00001225","metagenomic",,"ERR1135352",
"MGYA00131988","3.0","ERS1792357","MGYS00001857","metagenomic",,"ERR2011072",
"MGYA00074577","3.0","ERS970414","MGYS00001225","metagenomic",,"ERR1135733",
"MGYA00070303","3.0","ERS606322","MGYS00001193","metagenomic",,"ERR675532",
"MGYA00074513","3.0","ERS970366","MGYS00001225","metagenomic",,"ERR1135390",
"MGYA00133709","3.0","ERS1847621","MGYS00001912","metagenomic",,"ERR2059968",
"MGYA00074232","3.0","ERS970271","MGYS00001225","metagenomic",,"ERR1135295",
"MGYA00070449","3.0","ERS606414","MGYS00001193","metagenomic",,"ERR675630",
"MGYA00094719","3.0","ERS1474378","MGYS00001380","metagenomic",,"ERR1762135",
"MGYA00070372","3.0","ERS606436","MGYS00001193","metagenomic",,"ERR675652",
"MGYA00074705","3.0","ERS970273","MGYS00001225","metagenomic",,"ERR1135297",
"MGYA00131987","3.0","ERS1792356","MGYS00001857","metagenomic",,"ERR2011071",
"MGYA00074223","3.0","ERS970206","MGYS00001225","metagenomic",,"ERR1135230",
"MGYA00074251","3.0","ERS970388","MGYS00001225","metagenomic",,"ERR1135707",
"MGYA00074493","3.0","ERS970337","MGYS00001225","metagenomic",,"ERR1135361",
"MGYA00133736","3.0","ERS1847582","MGYS00001912","metagenomic",,"ERR2059929",
"MGYA00070375","3.0","ERS606376","MGYS00001193","metagenomic",,"ERR675586",
"MGYA00074707","3.0","ERS970423","MGYS00001225","metagenomic",,"ERR1135447",
"MGYA00128572","3.0","ERS723613","MGYS00001796","metagenomic",,"ERR878235",
"MGYA00128278","3.0","ERS765156","MGYS00001786","metagenomic",,"ERR1308113",
"MGYA00103123","3.0","ERS1571324","MGYS00001559","metagenomic",,"ERR1855543",
"MGYA00074399","3.0","ERS970426","MGYS00001225","metagenomic",,"ERR1135745",
"MGYA00074783","3.0","ERS970394","MGYS00001225","metagenomic",,"ERR1135418",
"MGYA00074434","3.0","ERS970219","MGYS00001225","metagenomic",,"ERR1135243",
"MGYA00128442","3.0","ERS743169","MGYS00001787","metagenomic",,"ERR906539",
"MGYA00128584","3.0","ERS723627","MGYS00001796","metagenomic",,"ERR878250",
